"x","y","type","country"
1999.25,2,"1","Austria"
1999.5,2,"1","Austria"
1999.75,2,"1","Austria"
2000,2,"1","Austria"
2000.25,2,"1","Austria"
2000.5,2,"1","Austria"
2000.75,2,"1","Austria"
2001,2,"1","Austria"
2001.25,2,"2","Austria"
2001.5,2,"2","Austria"
2001.75,2,"1","Austria"
2002,2,"1","Austria"
2002.25,2,"1","Austria"
2002.5,2,"1","Austria"
2002.75,2,"1","Austria"
2003,2,"1","Austria"
2003.25,2,"1","Austria"
2003.5,2,"1","Austria"
2003.75,2,"1","Austria"
2004,2,"1","Austria"
2004.25,2,"1","Austria"
2004.5,2,"1","Austria"
2004.75,2,"1","Austria"
2005,2,"1","Austria"
2005.25,2,"1","Austria"
2005.5,2,"1","Austria"
2005.75,2,"1","Austria"
2006,2,"1","Austria"
2006.25,2,"1","Austria"
2006.5,2,"1","Austria"
2006.75,2,"1","Austria"
2007,2,"1","Austria"
2007.25,2,"1","Austria"
2007.5,2,"1","Austria"
2007.75,2,"1","Austria"
2008,2,"1","Austria"
2008.25,2,"1","Austria"
2008.5,2,"2","Austria"
2008.75,2,"2","Austria"
2009,2,"2","Austria"
2009.25,2,"2","Austria"
2009.5,2,"2","Austria"
2009.75,2,"1","Austria"
2010,2,"1","Austria"
2010.25,2,"1","Austria"
2010.5,2,"1","Austria"
2010.75,2,"1","Austria"
2011,2,"1","Austria"
2011.25,2,"1","Austria"
2011.5,2,"1","Austria"
2011.75,2,"1","Austria"
2012,2,"1","Austria"
2012.25,2,"1","Austria"
2012.5,2,"1","Austria"
2012.75,2,"1","Austria"
2013,2,"2","Austria"
2013.25,2,"2","Austria"
2013.5,2,"1","Austria"
2013.75,2,"1","Austria"
2014,2,"1","Austria"
2014.25,2,"1","Austria"
2014.5,2,"1","Austria"
2014.75,2,"1","Austria"
2015,2,"1","Austria"
2015.25,2,"1","Austria"
2015.5,2,"1","Austria"
2015.75,2,"1","Austria"
2016,2,"1","Austria"
2016.25,2,"1","Austria"
2016.5,2,"1","Austria"
2016.75,2,"1","Austria"
2017,2,"1","Austria"
2017.25,2,"1","Austria"
2017.5,2,"1","Austria"
2017.75,2,"1","Austria"
2018,2,"1","Austria"
2018.25,2,"1","Austria"
2018.5,2,"1","Austria"
2018.75,2,"1","Austria"
2019,2,"1","Austria"
2019.25,2,"1","Austria"
2019.5,2,"1","Austria"
1999.25,3,"1","Belgium"
1999.5,3,"1","Belgium"
1999.75,3,"1","Belgium"
2000,3,"1","Belgium"
2000.25,3,"1","Belgium"
2000.5,3,"1","Belgium"
2000.75,3,"1","Belgium"
2001,3,"1","Belgium"
2001.25,3,"2","Belgium"
2001.5,3,"2","Belgium"
2001.75,3,"2","Belgium"
2002,3,"2","Belgium"
2002.25,3,"1","Belgium"
2002.5,3,"1","Belgium"
2002.75,3,"1","Belgium"
2003,3,"1","Belgium"
2003.25,3,"1","Belgium"
2003.5,3,"1","Belgium"
2003.75,3,"1","Belgium"
2004,3,"1","Belgium"
2004.25,3,"1","Belgium"
2004.5,3,"1","Belgium"
2004.75,3,"1","Belgium"
2005,3,"1","Belgium"
2005.25,3,"1","Belgium"
2005.5,3,"1","Belgium"
2005.75,3,"1","Belgium"
2006,3,"1","Belgium"
2006.25,3,"1","Belgium"
2006.5,3,"1","Belgium"
2006.75,3,"1","Belgium"
2007,3,"1","Belgium"
2007.25,3,"1","Belgium"
2007.5,3,"1","Belgium"
2007.75,3,"1","Belgium"
2008,3,"1","Belgium"
2008.25,3,"1","Belgium"
2008.5,3,"1","Belgium"
2008.75,3,"2","Belgium"
2009,3,"2","Belgium"
2009.25,3,"2","Belgium"
2009.5,3,"2","Belgium"
2009.75,3,"1","Belgium"
2010,3,"1","Belgium"
2010.25,3,"1","Belgium"
2010.5,3,"1","Belgium"
2010.75,3,"1","Belgium"
2011,3,"1","Belgium"
2011.25,3,"1","Belgium"
2011.5,3,"1","Belgium"
2011.75,3,"1","Belgium"
2012,3,"1","Belgium"
2012.25,3,"1","Belgium"
2012.5,3,"2","Belgium"
2012.75,3,"2","Belgium"
2013,3,"2","Belgium"
2013.25,3,"2","Belgium"
2013.5,3,"1","Belgium"
2013.75,3,"1","Belgium"
2014,3,"1","Belgium"
2014.25,3,"1","Belgium"
2014.5,3,"1","Belgium"
2014.75,3,"1","Belgium"
2015,3,"1","Belgium"
2015.25,3,"1","Belgium"
2015.5,3,"1","Belgium"
2015.75,3,"1","Belgium"
2016,3,"1","Belgium"
2016.25,3,"1","Belgium"
2016.5,3,"1","Belgium"
2016.75,3,"1","Belgium"
2017,3,"1","Belgium"
2017.25,3,"1","Belgium"
2017.5,3,"1","Belgium"
2017.75,3,"1","Belgium"
2018,3,"1","Belgium"
2018.25,3,"1","Belgium"
2018.5,3,"1","Belgium"
2018.75,3,"1","Belgium"
2019,3,"1","Belgium"
2019.25,3,"1","Belgium"
2019.5,3,"1","Belgium"
1999.25,4,"1","Finland"
1999.5,4,"1","Finland"
1999.75,4,"1","Finland"
2000,4,"1","Finland"
2000.25,4,"1","Finland"
2000.5,4,"1","Finland"
2000.75,4,"1","Finland"
2001,4,"1","Finland"
2001.25,4,"1","Finland"
2001.5,4,"1","Finland"
2001.75,4,"1","Finland"
2002,4,"1","Finland"
2002.25,4,"1","Finland"
2002.5,4,"1","Finland"
2002.75,4,"1","Finland"
2003,4,"1","Finland"
2003.25,4,"1","Finland"
2003.5,4,"1","Finland"
2003.75,4,"1","Finland"
2004,4,"1","Finland"
2004.25,4,"1","Finland"
2004.5,4,"1","Finland"
2004.75,4,"1","Finland"
2005,4,"1","Finland"
2005.25,4,"1","Finland"
2005.5,4,"1","Finland"
2005.75,4,"1","Finland"
2006,4,"1","Finland"
2006.25,4,"1","Finland"
2006.5,4,"1","Finland"
2006.75,4,"1","Finland"
2007,4,"1","Finland"
2007.25,4,"1","Finland"
2007.5,4,"1","Finland"
2007.75,4,"1","Finland"
2008,4,"1","Finland"
2008.25,4,"2","Finland"
2008.5,4,"2","Finland"
2008.75,4,"2","Finland"
2009,4,"2","Finland"
2009.25,4,"2","Finland"
2009.5,4,"2","Finland"
2009.75,4,"1","Finland"
2010,4,"1","Finland"
2010.25,4,"1","Finland"
2010.5,4,"1","Finland"
2010.75,4,"1","Finland"
2011,4,"1","Finland"
2011.25,4,"1","Finland"
2011.5,4,"1","Finland"
2011.75,4,"1","Finland"
2012,4,"1","Finland"
2012.25,4,"1","Finland"
2012.5,4,"2","Finland"
2012.75,4,"2","Finland"
2013,4,"2","Finland"
2013.25,4,"2","Finland"
2013.5,4,"1","Finland"
2013.75,4,"1","Finland"
2014,4,"2","Finland"
2014.25,4,"2","Finland"
2014.5,4,"2","Finland"
2014.75,4,"1","Finland"
2015,4,"2","Finland"
2015.25,4,"2","Finland"
2015.5,4,"1","Finland"
2015.75,4,"1","Finland"
2016,4,"1","Finland"
2016.25,4,"1","Finland"
2016.5,4,"1","Finland"
2016.75,4,"1","Finland"
2017,4,"1","Finland"
2017.25,4,"1","Finland"
2017.5,4,"1","Finland"
2017.75,4,"1","Finland"
2018,4,"1","Finland"
2018.25,4,"1","Finland"
2018.5,4,"1","Finland"
2018.75,4,"1","Finland"
2019,4,"1","Finland"
2019.25,4,"1","Finland"
2019.5,4,"1","Finland"
1999.25,5,"1","France"
1999.5,5,"1","France"
1999.75,5,"1","France"
2000,5,"1","France"
2000.25,5,"1","France"
2000.5,5,"1","France"
2000.75,5,"1","France"
2001,5,"1","France"
2001.25,5,"1","France"
2001.5,5,"1","France"
2001.75,5,"1","France"
2002,5,"1","France"
2002.25,5,"1","France"
2002.5,5,"1","France"
2002.75,5,"1","France"
2003,5,"1","France"
2003.25,5,"1","France"
2003.5,5,"1","France"
2003.75,5,"1","France"
2004,5,"1","France"
2004.25,5,"1","France"
2004.5,5,"1","France"
2004.75,5,"1","France"
2005,5,"1","France"
2005.25,5,"1","France"
2005.5,5,"1","France"
2005.75,5,"1","France"
2006,5,"1","France"
2006.25,5,"1","France"
2006.5,5,"1","France"
2006.75,5,"1","France"
2007,5,"1","France"
2007.25,5,"1","France"
2007.5,5,"1","France"
2007.75,5,"1","France"
2008,5,"1","France"
2008.25,5,"1","France"
2008.5,5,"2","France"
2008.75,5,"2","France"
2009,5,"2","France"
2009.25,5,"2","France"
2009.5,5,"2","France"
2009.75,5,"1","France"
2010,5,"1","France"
2010.25,5,"1","France"
2010.5,5,"1","France"
2010.75,5,"1","France"
2011,5,"1","France"
2011.25,5,"1","France"
2011.5,5,"1","France"
2011.75,5,"1","France"
2012,5,"1","France"
2012.25,5,"1","France"
2012.5,5,"1","France"
2012.75,5,"1","France"
2013,5,"2","France"
2013.25,5,"2","France"
2013.5,5,"1","France"
2013.75,5,"1","France"
2014,5,"1","France"
2014.25,5,"1","France"
2014.5,5,"1","France"
2014.75,5,"1","France"
2015,5,"1","France"
2015.25,5,"1","France"
2015.5,5,"1","France"
2015.75,5,"1","France"
2016,5,"1","France"
2016.25,5,"1","France"
2016.5,5,"1","France"
2016.75,5,"1","France"
2017,5,"1","France"
2017.25,5,"1","France"
2017.5,5,"1","France"
2017.75,5,"1","France"
2018,5,"1","France"
2018.25,5,"1","France"
2018.5,5,"1","France"
2018.75,5,"1","France"
2019,5,"1","France"
2019.25,5,"1","France"
2019.5,5,"1","France"
1999.25,6,"1","Germany"
1999.5,6,"1","Germany"
1999.75,6,"1","Germany"
2000,6,"1","Germany"
2000.25,6,"1","Germany"
2000.5,6,"1","Germany"
2000.75,6,"2","Germany"
2001,6,"2","Germany"
2001.25,6,"1","Germany"
2001.5,6,"2","Germany"
2001.75,6,"2","Germany"
2002,6,"2","Germany"
2002.25,6,"2","Germany"
2002.5,6,"1","Germany"
2002.75,6,"1","Germany"
2003,6,"2","Germany"
2003.25,6,"2","Germany"
2003.5,6,"1","Germany"
2003.75,6,"1","Germany"
2004,6,"1","Germany"
2004.25,6,"1","Germany"
2004.5,6,"1","Germany"
2004.75,6,"2","Germany"
2005,6,"2","Germany"
2005.25,6,"2","Germany"
2005.5,6,"1","Germany"
2005.75,6,"1","Germany"
2006,6,"1","Germany"
2006.25,6,"1","Germany"
2006.5,6,"1","Germany"
2006.75,6,"1","Germany"
2007,6,"1","Germany"
2007.25,6,"1","Germany"
2007.5,6,"1","Germany"
2007.75,6,"1","Germany"
2008,6,"1","Germany"
2008.25,6,"1","Germany"
2008.5,6,"2","Germany"
2008.75,6,"2","Germany"
2009,6,"2","Germany"
2009.25,6,"2","Germany"
2009.5,6,"1","Germany"
2009.75,6,"1","Germany"
2010,6,"1","Germany"
2010.25,6,"1","Germany"
2010.5,6,"1","Germany"
2010.75,6,"1","Germany"
2011,6,"1","Germany"
2011.25,6,"1","Germany"
2011.5,6,"1","Germany"
2011.75,6,"1","Germany"
2012,6,"1","Germany"
2012.25,6,"1","Germany"
2012.5,6,"1","Germany"
2012.75,6,"1","Germany"
2013,6,"2","Germany"
2013.25,6,"2","Germany"
2013.5,6,"1","Germany"
2013.75,6,"1","Germany"
2014,6,"1","Germany"
2014.25,6,"1","Germany"
2014.5,6,"1","Germany"
2014.75,6,"1","Germany"
2015,6,"1","Germany"
2015.25,6,"1","Germany"
2015.5,6,"1","Germany"
2015.75,6,"1","Germany"
2016,6,"1","Germany"
2016.25,6,"1","Germany"
2016.5,6,"1","Germany"
2016.75,6,"1","Germany"
2017,6,"1","Germany"
2017.25,6,"1","Germany"
2017.5,6,"1","Germany"
2017.75,6,"1","Germany"
2018,6,"1","Germany"
2018.25,6,"1","Germany"
2018.5,6,"1","Germany"
2018.75,6,"1","Germany"
2019,6,"1","Germany"
2019.25,6,"1","Germany"
2019.5,6,"1","Germany"
1999.25,7,"1","Ireland"
1999.5,7,"1","Ireland"
1999.75,7,"1","Ireland"
2000,7,"1","Ireland"
2000.25,7,"1","Ireland"
2000.5,7,"1","Ireland"
2000.75,7,"1","Ireland"
2001,7,"1","Ireland"
2001.25,7,"1","Ireland"
2001.5,7,"1","Ireland"
2001.75,7,"1","Ireland"
2002,7,"1","Ireland"
2002.25,7,"1","Ireland"
2002.5,7,"1","Ireland"
2002.75,7,"1","Ireland"
2003,7,"1","Ireland"
2003.25,7,"1","Ireland"
2003.5,7,"1","Ireland"
2003.75,7,"1","Ireland"
2004,7,"1","Ireland"
2004.25,7,"1","Ireland"
2004.5,7,"1","Ireland"
2004.75,7,"1","Ireland"
2005,7,"1","Ireland"
2005.25,7,"1","Ireland"
2005.5,7,"1","Ireland"
2005.75,7,"1","Ireland"
2006,7,"1","Ireland"
2006.25,7,"1","Ireland"
2006.5,7,"1","Ireland"
2006.75,7,"1","Ireland"
2007,7,"1","Ireland"
2007.25,7,"1","Ireland"
2007.5,7,"2","Ireland"
2007.75,7,"2","Ireland"
2008,7,"1","Ireland"
2008.25,7,"2","Ireland"
2008.5,7,"2","Ireland"
2008.75,7,"2","Ireland"
2009,7,"2","Ireland"
2009.25,7,"2","Ireland"
2009.5,7,"2","Ireland"
2009.75,7,"2","Ireland"
2010,7,"1","Ireland"
2010.25,7,"1","Ireland"
2010.5,7,"1","Ireland"
2010.75,7,"1","Ireland"
2011,7,"1","Ireland"
2011.25,7,"1","Ireland"
2011.5,7,"1","Ireland"
2011.75,7,"2","Ireland"
2012,7,"2","Ireland"
2012.25,7,"1","Ireland"
2012.5,7,"1","Ireland"
2012.75,7,"1","Ireland"
2013,7,"1","Ireland"
2013.25,7,"1","Ireland"
2013.5,7,"1","Ireland"
2013.75,7,"1","Ireland"
2014,7,"1","Ireland"
2014.25,7,"1","Ireland"
2014.5,7,"1","Ireland"
2014.75,7,"1","Ireland"
2015,7,"1","Ireland"
2015.25,7,"1","Ireland"
2015.5,7,"1","Ireland"
2015.75,7,"1","Ireland"
2016,7,"1","Ireland"
2016.25,7,"1","Ireland"
2016.5,7,"1","Ireland"
2016.75,7,"1","Ireland"
2017,7,"1","Ireland"
2017.25,7,"1","Ireland"
2017.5,7,"1","Ireland"
2017.75,7,"1","Ireland"
2018,7,"1","Ireland"
2018.25,7,"1","Ireland"
2018.5,7,"1","Ireland"
2018.75,7,"1","Ireland"
2019,7,"1","Ireland"
2019.25,7,"1","Ireland"
2019.5,7,"1","Ireland"
1999.25,8,"1","Italy"
1999.5,8,"1","Italy"
1999.75,8,"1","Italy"
2000,8,"1","Italy"
2000.25,8,"1","Italy"
2000.5,8,"1","Italy"
2000.75,8,"1","Italy"
2001,8,"1","Italy"
2001.25,8,"1","Italy"
2001.5,8,"2","Italy"
2001.75,8,"2","Italy"
2002,8,"1","Italy"
2002.25,8,"1","Italy"
2002.5,8,"1","Italy"
2002.75,8,"1","Italy"
2003,8,"1","Italy"
2003.25,8,"2","Italy"
2003.5,8,"2","Italy"
2003.75,8,"1","Italy"
2004,8,"1","Italy"
2004.25,8,"1","Italy"
2004.5,8,"1","Italy"
2004.75,8,"1","Italy"
2005,8,"1","Italy"
2005.25,8,"1","Italy"
2005.5,8,"1","Italy"
2005.75,8,"1","Italy"
2006,8,"1","Italy"
2006.25,8,"1","Italy"
2006.5,8,"1","Italy"
2006.75,8,"1","Italy"
2007,8,"1","Italy"
2007.25,8,"1","Italy"
2007.5,8,"2","Italy"
2007.75,8,"2","Italy"
2008,8,"2","Italy"
2008.25,8,"1","Italy"
2008.5,8,"2","Italy"
2008.75,8,"2","Italy"
2009,8,"2","Italy"
2009.25,8,"2","Italy"
2009.5,8,"2","Italy"
2009.75,8,"1","Italy"
2010,8,"1","Italy"
2010.25,8,"1","Italy"
2010.5,8,"1","Italy"
2010.75,8,"1","Italy"
2011,8,"1","Italy"
2011.25,8,"1","Italy"
2011.5,8,"1","Italy"
2011.75,8,"2","Italy"
2012,8,"2","Italy"
2012.25,8,"2","Italy"
2012.5,8,"2","Italy"
2012.75,8,"2","Italy"
2013,8,"2","Italy"
2013.25,8,"2","Italy"
2013.5,8,"2","Italy"
2013.75,8,"1","Italy"
2014,8,"1","Italy"
2014.25,8,"1","Italy"
2014.5,8,"1","Italy"
2014.75,8,"1","Italy"
2015,8,"1","Italy"
2015.25,8,"1","Italy"
2015.5,8,"1","Italy"
2015.75,8,"1","Italy"
2016,8,"1","Italy"
2016.25,8,"1","Italy"
2016.5,8,"1","Italy"
2016.75,8,"1","Italy"
2017,8,"1","Italy"
2017.25,8,"1","Italy"
2017.5,8,"1","Italy"
2017.75,8,"1","Italy"
2018,8,"1","Italy"
2018.25,8,"1","Italy"
2018.5,8,"1","Italy"
2018.75,8,"2","Italy"
2019,8,"2","Italy"
2019.25,8,"1","Italy"
2019.5,8,"1","Italy"
1999.25,9,"1","Luxembourg"
1999.5,9,"1","Luxembourg"
1999.75,9,"1","Luxembourg"
2000,9,"1","Luxembourg"
2000.25,9,"1","Luxembourg"
2000.5,9,"1","Luxembourg"
2000.75,9,"1","Luxembourg"
2001,9,"1","Luxembourg"
2001.25,9,"1","Luxembourg"
2001.5,9,"1","Luxembourg"
2001.75,9,"1","Luxembourg"
2002,9,"1","Luxembourg"
2002.25,9,"1","Luxembourg"
2002.5,9,"1","Luxembourg"
2002.75,9,"2","Luxembourg"
2003,9,"2","Luxembourg"
2003.25,9,"2","Luxembourg"
2003.5,9,"1","Luxembourg"
2003.75,9,"1","Luxembourg"
2004,9,"1","Luxembourg"
2004.25,9,"1","Luxembourg"
2004.5,9,"1","Luxembourg"
2004.75,9,"1","Luxembourg"
2005,9,"1","Luxembourg"
2005.25,9,"1","Luxembourg"
2005.5,9,"1","Luxembourg"
2005.75,9,"1","Luxembourg"
2006,9,"1","Luxembourg"
2006.25,9,"1","Luxembourg"
2006.5,9,"1","Luxembourg"
2006.75,9,"1","Luxembourg"
2007,9,"1","Luxembourg"
2007.25,9,"1","Luxembourg"
2007.5,9,"1","Luxembourg"
2007.75,9,"1","Luxembourg"
2008,9,"1","Luxembourg"
2008.25,9,"2","Luxembourg"
2008.5,9,"2","Luxembourg"
2008.75,9,"2","Luxembourg"
2009,9,"2","Luxembourg"
2009.25,9,"2","Luxembourg"
2009.5,9,"2","Luxembourg"
2009.75,9,"1","Luxembourg"
2010,9,"1","Luxembourg"
2010.25,9,"1","Luxembourg"
2010.5,9,"1","Luxembourg"
2010.75,9,"1","Luxembourg"
2011,9,"1","Luxembourg"
2011.25,9,"1","Luxembourg"
2011.5,9,"1","Luxembourg"
2011.75,9,"1","Luxembourg"
2012,9,"1","Luxembourg"
2012.25,9,"2","Luxembourg"
2012.5,9,"2","Luxembourg"
2012.75,9,"1","Luxembourg"
2013,9,"1","Luxembourg"
2013.25,9,"1","Luxembourg"
2013.5,9,"1","Luxembourg"
2013.75,9,"1","Luxembourg"
2014,9,"1","Luxembourg"
2014.25,9,"1","Luxembourg"
2014.5,9,"1","Luxembourg"
2014.75,9,"1","Luxembourg"
2015,9,"1","Luxembourg"
2015.25,9,"2","Luxembourg"
2015.5,9,"2","Luxembourg"
2015.75,9,"1","Luxembourg"
2016,9,"1","Luxembourg"
2016.25,9,"1","Luxembourg"
2016.5,9,"1","Luxembourg"
2016.75,9,"1","Luxembourg"
2017,9,"1","Luxembourg"
2017.25,9,"1","Luxembourg"
2017.5,9,"1","Luxembourg"
2017.75,9,"1","Luxembourg"
2018,9,"1","Luxembourg"
2018.25,9,"1","Luxembourg"
2018.5,9,"1","Luxembourg"
2018.75,9,"1","Luxembourg"
2019,9,"1","Luxembourg"
2019.25,9,"1","Luxembourg"
2019.5,9,"1","Luxembourg"
1999.25,10,"1","Netherlands"
1999.5,10,"1","Netherlands"
1999.75,10,"1","Netherlands"
2000,10,"1","Netherlands"
2000.25,10,"1","Netherlands"
2000.5,10,"1","Netherlands"
2000.75,10,"1","Netherlands"
2001,10,"1","Netherlands"
2001.25,10,"1","Netherlands"
2001.5,10,"1","Netherlands"
2001.75,10,"1","Netherlands"
2002,10,"1","Netherlands"
2002.25,10,"1","Netherlands"
2002.5,10,"1","Netherlands"
2002.75,10,"1","Netherlands"
2003,10,"1","Netherlands"
2003.25,10,"1","Netherlands"
2003.5,10,"1","Netherlands"
